date,colony_id,full_sample_id,species,site,patch,timepoint,Tag.found
20220126,POC-474,POC-474-20220126,Pocillopora,backreef,P1,January,yes
20220126,POC-475,POC-475-20220126,Pocillopora,backreef,P1,January,yes
20220126,POC-472,POC-472-20220126,Pocillopora,backreef,P2,January,yes
20220126,POC-473,POC-473-20220126,Pocillopora,backreef,P2,January,yes
20220126,POC-466,POC-466-20220126,Pocillopora,backreef,P3,January,yes
20220126,POC-467,POC-467-20220126,Pocillopora,backreef,P3,January,yes
20220126,POC-468,POC-468-20220126,Pocillopora,backreef,P4,January,yes
20220126,POC-469,POC-469-20220126,Pocillopora,backreef,P4,January,yes
20220126,POC-470,POC-470-20220126,Pocillopora,backreef,P5,January,yes
20220126,POC-471,POC-471-20220126,Pocillopora,backreef,P5,January,yes
20220215,POC-474,POC-474-20220215,Pocillopora,backreef,P1,February,yes
20220215,POC-475,POC-475-20220215,Pocillopora,backreef,P1,February,yes
20220215,POC-472,POC-472-20220215,Pocillopora,backreef,P2,February,yes
20220215,POC-473,POC-473-20220215,Pocillopora,backreef,P2,February,yes
20220215,POC-466,POC-466-20220215,Pocillopora,backreef,P3,February,yes
20220215,POC-467,POC-467-20220215,Pocillopora,backreef,P3,February,yes
20220215,POC-468,POC-468-20220215,Pocillopora,backreef,P4,February,yes
20220215,POC-469,POC-469-20220215,Pocillopora,backreef,P4,February,yes
20220215,POC-470,POC-470-20220215,Pocillopora,backreef,P5,February,yes
20220215,POC-471,POC-471-20220215,Pocillopora,backreef,P5,February,yes
20220217,POC-477,POC-477-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-478,POC-478-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-479,POC-479-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-480,POC-480-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-481,POC-481-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-482,POC-482-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-483,POC-483-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-484,POC-484-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-485,POC-485-20220217,Pocillopora,forereef,NA,February,yes
20220217,POC-476,POC-476-20220217,Pocillopora,forereef,NA,February,yes
20220315,POC-474,POC-474-20220315,Pocillopora,backreef,P1,March,yes
20220315,POC-475,POC-475-20220315,Pocillopora,backreef,P1,March,yes
20220315,POC-472,POC-472-20220315,Pocillopora,backreef,P2,March,yes
20220315,POC-473,POC-473-20220315,Pocillopora,backreef,P2,March,yes
20220315,POC-466,POC-466-20220315,Pocillopora,backreef,P3,March,yes
20220315,POC-467,POC-467-20220315,Pocillopora,backreef,P3,March,yes
20220315,POC-468,POC-468-20220315,Pocillopora,backreef,P4,March,yes
20220315,POC-469,POC-469-20220315,Pocillopora,backreef,P4,March,yes
20220315,POC-470,POC-470-20220315,Pocillopora,backreef,P5,March,yes
20220315,POC-471,POC-471-20220315,Pocillopora,backreef,P5,March,yes
20220316,POC-477,POC-477-20220316,Pocillopora,forereef,NA,March,yes
